Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,39.8,0.0,21268.0,107.684,949980,97.94872617721558
2,0.0,39.3,0.0,21268.0,123.744,1077176,25.221603870391846
3,0.0,39.5,0.0,21268.0,124.751,1200642,24.987050771713257
4,0.0,39.7,0.0,21268.0,125.511,1324909,25.129258155822754
5,0.2,39.8,0.0,21268.0,127.416,1458514,24.58747434616089
6,0.0,39.3,0.0,21268.0,114.793,1582832,24.84159207344055
7,0.2,39.5,0.0,21268.0,127.656,1725333,25.290903329849243
8,0.0,39.6,0.0,21268.0,127.99799999999999,1849408,24.7709903717041
9,0.0,39.7,0.0,21268.0,128.487,1972582,24.601905345916748
10,0.0,39.9,0.0,21268.0,128.707,2096469,25.229623556137085
