Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.0,44.9,0.0,21348.0,130.396,214999187,67.11743664741516
2,0.0,44.8,0.0,21348.0,144.046,215030245,8.2677903175354
3,0.1,44.7,0.0,21348.0,142.981,215060555,8.375353336334229
4,0.0,44.7,0.0,21348.0,143.16899999999998,215090859,8.328330039978027
5,0.0,44.7,0.0,21348.0,144.836,215120953,8.121273756027222
6,0.1,44.8,0.0,21348.0,144.411,215162147,8.256350755691528
7,0.1,44.8,0.0,21348.0,144.054,215197422,8.25247859954834
8,0.1,44.8,0.0,21348.0,144.42700000000002,215237316,8.375195264816284
9,0.0,44.9,0.0,21348.0,143.75900000000001,215268450,8.312450885772705
10,0.0,44.0,0.0,21348.0,145.377,215299386,8.423800706863403
11,0.1,44.2,0.0,21348.0,145.499,215330590,8.195194959640503
12,0.0,44.4,0.0,21348.0,145.421,215362580,8.1462082862854
13,0.0,44.4,0.0,21348.0,147.179,215400489,8.163326501846313
14,0.1,44.4,0.0,21348.0,146.33100000000002,215435285,8.333075284957886
15,0.0,44.5,0.0,21348.0,145.112,215466691,8.277900695800781
16,0.2,44.6,0.0,21348.0,144.583,215496833,8.315322875976562
17,0.0,44.6,0.0,21348.0,145.562,215527683,8.299602031707764
18,0.0,44.8,0.0,21348.0,145.533,215558113,8.25421953201294
19,0.0,44.8,0.0,21348.0,146.39600000000002,215588097,8.298192739486694
20,0.0,44.8,0.0,21348.0,145.159,215618451,8.212369203567505
