Epoch,CPU_Usage(%),RAM_Usage(%),GPU_Usage(%),GPU_Memory_Used(MB),GPU_Power(W),Network_Usage(Bytes),Epoch_Training_Time(s)
1,0.1,53.7,0.0,21362.0,146.338,218594221,65.22292828559875
2,0.0,53.8,0.0,21362.0,147.249,218611153,4.875067710876465
3,0.1,53.2,0.0,21362.0,146.775,218626841,4.9379870891571045
4,0.1,53.4,0.0,21362.0,148.404,218642983,4.845248699188232
5,0.2,53.6,0.0,21362.0,148.57,218658637,4.8322131633758545
6,0.0,53.7,0.0,21362.0,150.508,218674835,4.755484342575073
7,0.1,53.8,0.0,21362.0,148.666,218690893,4.878063678741455
8,0.4,53.8,0.0,21362.0,148.459,218707165,4.815326929092407
9,0.1,53.8,0.0,21362.0,147.574,218723067,4.769910097122192
10,0.1,53.9,0.0,21362.0,147.888,218739944,4.77204442024231
